,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
1618,21,56514,49.0,4NKPz7SQTrxlQ7tYlmuOBz,complete,0,2023-12-08 12:59:36,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1619,21,56517,49.0,3mGm6mI0IY3GeEMygb7z3I,complete,1,2023-12-08 13:03:32,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1626,21,56574,49.0,0ZSkqNVafdYQ9TTnj2VL5n,complete,0,2023-12-08 13:36:39,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1627,21,56591,49.0,08hsy0M8A2yQfn6DZlrSIy,complete,0,2023-12-08 13:43:22,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1634,21,56625,49.0,5quEibBEny3JKiLU6gYi80,complete,0,2023-12-08 13:49:40,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1643,21,56722,49.0,74q2bTR4gOux6SHA9maIgo,complete,1,2023-12-08 14:04:11,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1652,21,56779,49.0,4JkNayiSw9dHuT5GsqurwM,complete,1,2023-12-08 14:13:27,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1662,21,56857,49.0,4zoSkI8uJMobwwPYu6tjMI,complete,0,2023-12-08 14:32:09,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1668,21,56948,49.0,7v7dsLN4KySHpP2BQ1znf3,complete,1,2023-12-08 14:47:06,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1676,21,57000,49.0,7cpdQzulil2eNisqMq8u1j,complete,0,2023-12-08 15:02:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1679,21,57038,49.0,5OBkqUcLae7lbVp8Evuioa,complete,0,2023-12-08 15:16:14,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1684,21,57053,49.0,3IsvQyA7poUj4TRaTnpeCr,complete,1,2023-12-08 15:21:53,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1702,21,57154,49.0,3RLQz0xAVjph77LVK5UJ3o,complete,0,2023-12-08 15:58:03,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
